"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","25-29 years","25-29",14363,1326356,1082.89
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","30-34 years","30-34",5097,1401180,363.76
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","35-39 years","35-39",2187,1448504,150.98
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","40+ years","40+",1529,6024165,25.38
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Female","F","Unknown","99",2511,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","0-14 years","0-14",403,4516449,8.92
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","15-19 years","15-19",9829,1419600,692.38
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","20-24 years","20-24",12090,1191831,1014.41
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","25-29 years","25-29",5769,1192373,483.82
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","30-34 years","30-34",2779,1242094,223.74
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","35-39 years","35-39",1424,1271199,112.02
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","40+ years","40+",1290,4678293,27.57
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Male","M","Unknown","99",950,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Unknown","U","15-19 years","15-19",14,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Unknown","U","20-24 years","20-24",5,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Unknown","U","25-29 years","25-29",2,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Unknown","U","30-34 years","30-34",1,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Black or African American","2054-5","Unknown","U","40+ years","40+",2,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","0-14 years","0-14",1274,4441074,28.69
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","15-19 years","15-19",19050,1292663,1473.70
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","20-24 years","20-24",17310,1303134,1328.34
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","25-29 years","25-29",7527,1344899,559.67
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","30-34 years","30-34",3083,1328062,232.14
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","35-39 years","35-39",1185,1162111,101.97
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","40+ years","40+",833,3892661,21.40
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Female","F","Unknown","99",1310,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","0-14 years","0-14",179,4640911,3.86
