"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","2003","2003","White","2106-3","Female","F","30-34 years","30-34",5946,6476430,91.81
,"Chlamydia","274","2003","2003","White","2106-3","Female","F","35-39 years","35-39",2327,7092435,32.81
,"Chlamydia","274","2003","2003","White","2106-3","Female","F","40+ years","40+",1949,51868068,3.76
,"Chlamydia","274","2003","2003","White","2106-3","Female","F","Unknown","99",845,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","0-14 years","0-14",171,18688544,0.91
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","15-19 years","15-19",6966,6718648,103.68
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","20-24 years","20-24",16426,6517919,252.01
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","25-29 years","25-29",7163,5823366,123.00
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","30-34 years","30-34",3200,6569571,48.71
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","35-39 years","35-39",1885,7138479,26.41
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","40+ years","40+",2477,46202988,5.36
,"Chlamydia","274","2003","2003","White","2106-3","Male","M","Unknown","99",218,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","0-14 years","0-14",4,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","15-19 years","15-19",51,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","20-24 years","20-24",44,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","25-29 years","25-29",14,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","30-34 years","30-34",12,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","35-39 years","35-39",2,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","40+ years","40+",6,Not Applicable,Not Applicable
,"Chlamydia","274","2003","2003","White","2106-3","Unknown","U","Unknown","99",12,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","0-14 years","0-14",6195,4659820,132.94
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","15-19 years","15-19",98728,1550705,6366.65
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","20-24 years","20-24",84856,1495431,5674.35
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","25-29 years","25-29",29084,1350322,2153.86
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","30-34 years","30-34",10074,1384303,727.73
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","35-39 years","35-39",4050,1405377,288.18
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","40+ years","40+",3302,7484533,44.12
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Female","F","Unknown","99",632,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","0-14 years","0-14",737,4811585,15.32
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","15-19 years","15-19",22720,1593352,1425.92
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","20-24 years","20-24",31157,1499742,2077.49
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","25-29 years","25-29",14644,1257034,1164.96
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","30-34 years","30-34",7317,1247196,586.68
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","35-39 years","35-39",3813,1254414,303.97
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","40+ years","40+",4241,5927799,71.54
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Male","M","Unknown","99",243,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","0-14 years","0-14",4,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","15-19 years","15-19",56,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","20-24 years","20-24",45,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","25-29 years","25-29",12,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","30-34 years","30-34",6,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","40+ years","40+",4,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Black or African American","2054-5","Unknown","U","Unknown","99",9,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","0-14 years","0-14",1592,5881123,27.07
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","15-19 years","15-19",32398,1610907,2011.17
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","20-24 years","20-24",35848,1692204,2118.42
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","25-29 years","25-29",16153,1746376,924.94
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","30-34 years","30-34",6851,1707611,401.20
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","35-39 years","35-39",2816,1531559,183.87
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","40+ years","40+",1879,5805226,32.37
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Female","F","Unknown","99",419,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","0-14 years","0-14",222,6150998,3.61
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","15-19 years","15-19",6349,1721907,368.72
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","20-24 years","20-24",11164,2072562,538.66
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","25-29 years","25-29",5902,2169076,272.10
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","30-34 years","30-34",2718,1993481,136.34
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","35-39 years","35-39",1289,1740426,74.06
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","40+ years","40+",1044,5498617,18.99
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Male","M","Unknown","99",180,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","0-14 years","0-14",4,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",22,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","20-24 years","20-24",28,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","25-29 years","25-29",11,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","30-34 years","30-34",9,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","35-39 years","35-39",4,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","40+ years","40+",5,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","Hispanic","Hispanic","Unknown","U","Unknown","99",10,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","0-14 years","0-14",2458,17568736,13.99
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","15-19 years","15-19",64737,6398834,1011.70
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","20-24 years","20-24",65911,6383764,1032.48
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","25-29 years","25-29",19706,5804787,339.48
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","30-34 years","30-34",6379,6289881,101.42
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","35-39 years","35-39",2531,6868928,36.85
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","40+ years","40+",2170,52474400,4.14
,"Chlamydia","274","2004","2004","White","2106-3","Female","F","Unknown","99",690,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","0-14 years","0-14",169,18512517,0.91
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","15-19 years","15-19",7573,6756738,112.08
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","20-24 years","20-24",17955,6619253,271.25
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","25-29 years","25-29",8274,5921875,139.72
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","30-34 years","30-34",3461,6379246,54.25
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","35-39 years","35-39",1980,6930132,28.57
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","40+ years","40+",2644,46866425,5.64
,"Chlamydia","274","2004","2004","White","2106-3","Male","M","Unknown","99",208,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","15-19 years","15-19",25,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","20-24 years","20-24",39,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","25-29 years","25-29",17,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","30-34 years","30-34",1,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","35-39 years","35-39",1,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","40+ years","40+",5,Not Applicable,Not Applicable
,"Chlamydia","274","2004","2004","White","2106-3","Unknown","U","Unknown","99",11,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","0-14 years","0-14",5547,4621705,120.02
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","15-19 years","15-19",99052,1598166,6197.85
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","20-24 years","20-24",82837,1496094,5536.88
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","25-29 years","25-29",29412,1395735,2107.28
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","30-34 years","30-34",9914,1359475,729.25
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","35-39 years","35-39",3898,1393243,279.78
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","40+ years","40+",3204,7672467,41.76
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Female","F","Unknown","99",446,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","0-14 years","0-14",751,4774578,15.73
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","15-19 years","15-19",24864,1640851,1515.31
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","20-24 years","20-24",32910,1518634,2167.08
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","25-29 years","25-29",16009,1313782,1218.54
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","30-34 years","30-34",7579,1226644,617.87
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","35-39 years","35-39",3942,1246215,316.32
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","40+ years","40+",4474,6082977,73.55
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Male","M","Unknown","99",232,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","0-14 years","0-14",8,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","15-19 years","15-19",59,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","20-24 years","20-24",62,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","25-29 years","25-29",20,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","30-34 years","30-34",4,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","35-39 years","35-39",5,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","40+ years","40+",6,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Black or African American","2054-5","Unknown","U","Unknown","99",11,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","0-14 years","0-14",1548,6033660,25.66
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","15-19 years","15-19",34420,1676465,2053.13
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","20-24 years","20-24",38885,1693390,2296.28
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","25-29 years","25-29",17640,1786681,987.31
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","30-34 years","30-34",7415,1745406,424.83
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","35-39 years","35-39",3169,1580480,200.51
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","40+ years","40+",2073,6105691,33.95
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Female","F","Unknown","99",357,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","0-14 years","0-14",202,6309883,3.20
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","15-19 years","15-19",6902,1784471,386.78
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","20-24 years","20-24",12225,2038460,599.72
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","25-29 years","25-29",6857,2242421,305.79
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","30-34 years","30-34",3177,2052442,154.79
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","35-39 years","35-39",1476,1809017,81.59
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","40+ years","40+",1192,5828757,20.45
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Male","M","Unknown","99",141,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",37,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","20-24 years","20-24",33,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","25-29 years","25-29",22,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","30-34 years","30-34",13,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","35-39 years","35-39",3,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","40+ years","40+",7,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","Hispanic","Hispanic","Unknown","U","Unknown","99",2,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","0-14 years","0-14",2284,17379668,13.14
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","15-19 years","15-19",64703,6433446,1005.73
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","20-24 years","20-24",69191,6399197,1081.25
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","25-29 years","25-29",21449,5946510,360.70
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","30-34 years","30-34",7040,6061783,116.14
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","35-39 years","35-39",2831,6763082,41.86
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","40+ years","40+",2316,53047681,4.37
,"Chlamydia","274","2005","2005","White","2106-3","Female","F","Unknown","99",636,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","0-14 years","0-14",154,18304243,0.84
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","15-19 years","15-19",7611,6793544,112.03
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","20-24 years","20-24",19704,6688933,294.58
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","25-29 years","25-29",9118,6058607,150.50
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","30-34 years","30-34",3605,6144659,58.67
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","35-39 years","35-39",2186,6837587,31.97
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","40+ years","40+",3024,47499338,6.37
,"Chlamydia","274","2005","2005","White","2106-3","Male","M","Unknown","99",199,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","0-14 years","0-14",4,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","15-19 years","15-19",30,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","20-24 years","20-24",35,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","25-29 years","25-29",20,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","30-34 years","30-34",12,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","35-39 years","35-39",3,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","40+ years","40+",5,Not Applicable,Not Applicable
,"Chlamydia","274","2005","2005","White","2106-3","Unknown","U","Unknown","99",5,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","0-14 years","0-14",5407,4602290,117.48
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","15-19 years","15-19",105051,1636874,6417.78
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","20-24 years","20-24",87007,1501877,5793.22
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","25-29 years","25-29",31600,1444805,2187.15
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","30-34 years","30-34",10399,1330240,781.74
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","35-39 years","35-39",4102,1400752,292.84
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","40+ years","40+",3343,7836761,42.66
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Female","F","Unknown","99",597,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","0-14 years","0-14",770,4755647,16.19
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","15-19 years","15-19",27806,1681355,1653.79
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","20-24 years","20-24",35497,1536512,2310.23
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","25-29 years","25-29",17506,1365181,1282.32
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","30-34 years","30-34",8088,1202056,672.85
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","35-39 years","35-39",4542,1247562,364.07
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","40+ years","40+",4973,6209585,80.09
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Male","M","Unknown","99",325,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","0-14 years","0-14",7,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","15-19 years","15-19",86,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","20-24 years","20-24",83,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","25-29 years","25-29",19,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","30-34 years","30-34",11,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","35-39 years","35-39",10,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","40+ years","40+",4,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Black or African American","2054-5","Unknown","U","Unknown","99",14,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","0-14 years","0-14",1442,6226277,23.16
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","15-19 years","15-19",36364,1755297,2071.67
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","20-24 years","20-24",41292,1714394,2408.55
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","25-29 years","25-29",19155,1841265,1040.32
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","30-34 years","30-34",8098,1794301,451.32
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","35-39 years","35-39",3457,1647044,209.89
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","40+ years","40+",2266,6417410,35.31
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Female","F","Unknown","99",271,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","0-14 years","0-14",225,6511618,3.46
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","15-19 years","15-19",7337,1867487,392.88
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","20-24 years","20-24",13246,2037649,650.06
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","25-29 years","25-29",7711,2321535,332.15
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","30-34 years","30-34",3397,2134606,159.14
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","35-39 years","35-39",1658,1885430,87.94
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","40+ years","40+",1421,6166725,23.04
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Male","M","Unknown","99",119,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","0-14 years","0-14",5,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",43,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","20-24 years","20-24",50,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","25-29 years","25-29",19,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","30-34 years","30-34",13,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","35-39 years","35-39",11,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","40+ years","40+",10,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","Hispanic","Hispanic","Unknown","U","Unknown","99",15,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","0-14 years","0-14",2020,17202123,11.74
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","15-19 years","15-19",63920,6446759,991.51
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","20-24 years","20-24",69995,6392691,1094.92
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","25-29 years","25-29",23725,6150454,385.74
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","30-34 years","30-34",7445,5830404,127.69
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","35-39 years","35-39",3172,6749433,47.00
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","40+ years","40+",2527,53480409,4.73
,"Chlamydia","274","2006","2006","White","2106-3","Female","F","Unknown","99",546,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","0-14 years","0-14",135,18112755,0.75
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","15-19 years","15-19",7924,6804441,116.45
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","20-24 years","20-24",20735,6721952,308.47
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","25-29 years","25-29",10332,6225042,165.97
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","30-34 years","30-34",4064,5903158,68.84
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","35-39 years","35-39",2352,6811549,34.53
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","40+ years","40+",3137,47960745,6.54
,"Chlamydia","274","2006","2006","White","2106-3","Male","M","Unknown","99",181,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","15-19 years","15-19",39,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","20-24 years","20-24",49,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","25-29 years","25-29",23,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","30-34 years","30-34",8,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","35-39 years","35-39",4,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","40+ years","40+",6,Not Applicable,Not Applicable
,"Chlamydia","274","2006","2006","White","2106-3","Unknown","U","Unknown","99",12,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","0-14 years","0-14",5533,4601476,120.24
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","15-19 years","15-19",115282,1664127,6927.48
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","20-24 years","20-24",95635,1508904,6338.04
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","25-29 years","25-29",34884,1474098,2366.46
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","30-34 years","30-34",11953,1320991,904.85
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","35-39 years","35-39",4707,1404546,335.13
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","40+ years","40+",3921,7980580,49.13
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Female","F","Unknown","99",519,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","0-14 years","0-14",837,4752747,17.61
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","15-19 years","15-19",32378,1709634,1893.86
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","20-24 years","20-24",40976,1546015,2650.43
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","25-29 years","25-29",20271,1412079,1435.54
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","30-34 years","30-34",9228,1197198,770.80
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","35-39 years","35-39",5030,1253127,401.40
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","40+ years","40+",5745,6321772,90.88
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Male","M","Unknown","99",235,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Unknown","U","0-14 years","0-14",7,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Unknown","U","15-19 years","15-19",135,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Unknown","U","20-24 years","20-24",102,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Unknown","U","25-29 years","25-29",28,Not Applicable,Not Applicable
,"Chlamydia","274","2007","2007","Black or African American","2054-5","Unknown","U","30-34 years","30-34",13,Not Applicable,Not Applicable
